item_hrid,barcode,holdings_level_call_number,item_effective_call_number,item_level_call_number,location_name
it00033060993,3.12066E+14,NC1185.D3 A45,NC1185.D3 A45,NC1185.D3 A45,UM W.E.B. Du Bois General Collections
it00034937881,3.12066E+14,RBR 549-577,RBR 557,RBR 557,UM Special Collections
it00033043822,3.12066E+14,ML1 .D72,ML1 .D72,ML1 .D72,UM W.E.B. Du Bois General Collections
it00033206953,3.12066E+14,"CD1043 .A2 1963, no.12, 16, 20, 29, 38, 48, 50, 51, 54, 55","CD1043 .A2 1963, no.29","CD1043 .A2 1963, no.29",UM W.E.B. Du Bois General Collections
it00034991283,3.12066E+14,RBR 730-873,RBR 844,RBR 844,UM Special Collections
it00035015231,3.12066E+14,MS 369 Box 3:80-Box 3:83,MS 369 Box 3:82,MS 369 Box 3:82,UM Special Collections Archival
it00034122031,3.12066E+14,HA201 1980 v.1 pt.11 ch.D sec.1-3,HA201 1980 v.1 pt.11 ch.D sec.1,HA201 1980 v.1 pt.11 ch.D sec.1,UM W.E.B. Du Bois General Collections
it00033503957,3.12066E+14,NA2750 .D42,NA2750 .D42,NA2750 .D42,UM W.E.B. Du Bois General Collections
it00034999041,3.12066E+14,Savas 1501-1638,Savas 1570,Savas 1570,UM Special Collections
it00034986969,3.12066E+14,NEA 64-66,NEA 66,NEA 66,UM Special Collections
it00033485045,3.12066E+14,ML410.O65 L57,ML410.O65 L57,ML410.O65 L57,UM W.E.B. Du Bois General Collections
it00034327136,3.12066E+14,HA201 1890 v.4-5,HA201 1890 v.5,HA201 1890 v.5,UM W.E.B. Du Bois General Collections
it00034929821,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.41,HA201 1960 v.41,UM W.E.B. Du Bois General Collections
it00035023279,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 10:451,MS 369 Box 10:451,UM Special Collections Archival
it00033082873,3.12066E+14,MT40 .R46,MT40 .R46,MT40 .R46,UM W.E.B. Du Bois General Collections
it00033544066,3.12066E+14,MT6.5 .N67 1988,MT6.5 .N67 1988,MT6.5 .N67 1988,UM W.E.B. Du Bois General Collections
it00035092692,3.12066E+14,"NEYM 63, 741, 1209, 1214",NEYM 1209,NEYM 1209,UM Special Collections
it00034933448,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034991234,3.12066E+14,RBR 730-873,RBR 754,RBR 754,UM Special Collections
it00033557074,3.12066E+14,M1003.S91 B8 1918,M1003.S91 B8 1918,M1003.S91 B8 1918,UM W.E.B. Du Bois General Collections
it00034933374,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035038961,3.12066E+14,RBR 1821-1892,RBR 1829,RBR 1829,UM Special Collections
it00035074034,3.12066E+14,NEA 556-559,NEA 557,NEA 557,UM Special Collections
it00034928563,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00034985943,3.12066E+14,Winokur 602-669,Winokur 637,Winokur 637,UM Special Collections
it00035040441,3.12066E+14,"Fraser 1003-1007, 1097-1101",Fraser 1003,Fraser 1003,UM Special Collections
it00033623734,3.12066E+14,ML410.B996 F34 1948,ML410.B996 F34 1948,ML410.B996 F34 1948,UM W.E.B. Du Bois General Collections
it00032912767,3.12066E+14,DK276 .A4 no. 1,DK276 .A4 no. 1-3,DK276 .A4 no. 1-3,UM W.E.B. Du Bois General Collections
it00033854317,3.12066E+14,ML3561.J3 S8,ML3561.J3 S8,ML3561.J3 S8,UM W.E.B. Du Bois General Collections
it00035044636,3.12066E+14,Savas 1744-1852,Savas 1746,Savas 1746,UM Special Collections
it00035035055,3.12066E+14,RBR 1189-1190,RBR 1190,RBR 1190,UM Special Collections
it00033540113,3.12066E+14,HB172.5 .W55,HB172.5 .W55,HB172.5 .W55,UM W.E.B. Du Bois General Collections
it00034985024,3.12066E+14,Winokur 548-601,Winokur 575,Winokur 575,UM Special Collections
it00032811348,3.12066E+14,TR147 .F6513,TR147 .F6513,TR147 .F6513,UM W.E.B. Du Bois General Collections
it00033713644,3.12066E+14,QA3 .L28,QA3 .L28 no. 721,QA3 .L28 no. 721,UM Science & Engineering Library
it00035086539,3.12066E+14,"NEYM 133, 1229",NEYM 133,NEYM 133,UM Special Collections
it00034982435,3.12066E+14,"NEA 2-5, 462, 478-480",NEA 2,NEA 2,UM Special Collections
it00035002989,3.12066E+14,Franklin 5-6,Franklin 5,Franklin 5,UM Special Collections
it00032992841,3.12066E+14,ML200.8.B5 K86,ML200.8.B5 K86,ML200.8.B5 K86,UM W.E.B. Du Bois General Collections
it00033043396,3.12066E+14,RBR 1471-1474,RBR 1474,RBR 1474,UM Special Collections
it00035100064,3.12066E+14,NEYM 1155-1195,NEYM 1157,NEYM 1157,UM Special Collections
it00034995332,3.12066E+14,Savas 1249-1260,Savas 1250,Savas 1250,UM Special Collections
it00035096820,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1116,NEYM 1116,UM Special Collections
it00034985984,3.12066E+14,Winokur 602-669,Winokur 612,Winokur 612,UM Special Collections
it00035061541,3.12066E+14,"NEA 466-477, 562-569",NEA 565,NEA 565,UM Special Collections
it00035030513,3.12066E+14,"Fraser 883-903, 1024-1047",Fraser 1040,Fraser 1040,UM Special Collections
it00035157493,3.12066E+14,ML1 .D41,ML1 .D41,ML1 .D41,UM W.E.B. Du Bois Periodicals
it00035011822,3.12066E+14,MS 369 Box 3:92-Box 4:98,MS 369 Box 4:93,MS 369 Box 4:93,UM Special Collections Archival
it00035022267,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:270,MS 369 Box 6:270,UM Special Collections Archival
it00035023113,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:301,MS 369 Box 6:301,UM Special Collections Archival
it00034999105,3.12066E+14,Savas 1501-1638,Savas 1627,Savas 1627,UM Special Collections
it00032827731,3.12066E+14,N7628.W3 A52,N7628.W3 A52,N7628.W3 A52,UM W.E.B. Du Bois General Collections
it00034984459,3.12066E+14,Fraser 30-31,Fraser 30,Fraser 30,UM Special Collections
it00034984960,3.12066E+14,Winokur 466-492,Winokur 480,Winokur 480,UM Special Collections
it00032955326,3.12066E+14,TR1 .B8,TR1 .B8,TR1 .B8,UM W.E.B. Du Bois General Collections
it00034928580,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00035165512,3.12066E+14,ML5 .D53,ML5 .D53,ML5 .D53,UM W.E.B. Du Bois Periodicals
it00034625323,3.12066E+14,ND235.B6 P35 2002,ND235.B6 P35 2002,ND235.B6 P35 2002,UM W.E.B. Du Bois General Collections
it00035023245,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 10:439,MS 369 Box 10:439,UM Special Collections Archival
it00035028572,3.12066E+14,Y 3.N 88:10/0420/,Y 3.N 88:10/0420/suppl.1,Y 3.N 88:10/0420/suppl.1,UM Government Documents
it00035061572,3.12066E+14,NEA 592-612,NEA 601,NEA 601,UM Special Collections
it00034981559,3.12066E+14,Winokur 413-420,Winokur 414,Winokur 414,UM Special Collections
it00035044748,3.12066E+14,Savas 1744-1852,Savas 1847,Savas 1847,UM Special Collections
it00035023257,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 10:447,MS 369 Box 10:447,UM Special Collections Archival
it00034932617,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00033903342,3.12066E+14,MT86 .A7,MT86 .A7,MT86 .A7,UM W.E.B. Du Bois General Collections
it00033335510,3.12066E+14,NA3 .Z5,NA3 .Z5,NA3 .Z5,UM W.E.B. Du Bois General Collections
it00035050816,3.12066E+14,"DA70 .A1 v.69, 71, 75, 78",DA70 .A1 v.69,DA70 .A1 v.69,UM W.E.B. Du Bois General Collections
it00033009456,3.12066E+14,TR835 .N28,TR835 .N28,TR835 .N28,UM W.E.B. Du Bois General Collections
it00034999074,3.12066E+14,Savas 1501-1638,Savas 1592,Savas 1592,UM Special Collections
it00034998991,3.12066E+14,Savas 1501-1638,Savas 1521,Savas 1521,UM Special Collections
it00034283547,3.12066E+14,HA201 1890 v.31-32,HA201 1890 v.32,HA201 1890 v.32,UM W.E.B. Du Bois General Collections
it00033306736,3.12066E+14,NA1303 .W5 1968,NA1303 .W5 1968,NA1303 .W5 1968,UM W.E.B. Du Bois General Collections
it00034526667,3.12066E+14,RBR 1585-1586,RBR 1585,RBR 1585,UM Special Collections
it00035094647,3.12066E+14,NEYM Pam 219-Pam 221,NEYM Pam 220,NEYM Pam 220,UM Special Collections
it00035023240,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 9:432,MS 369 Box 9:432,UM Special Collections Archival
it00034933378,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034932546,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035044686,3.12066E+14,Savas 1744-1852,Savas 1790,Savas 1790,UM Special Collections
it00035160797,3.12066E+14,NA1 .A6,NA1 .A6,NA1 .A6,UM W.E.B. Du Bois Periodicals
it00032670311,3.12066E+14,RBR 1349-1361,RBR 1359,RBR 1359,UM Special Collections
it00033356426,3.12066E+14,RBR 1964-2038,RBR 1992,RBR 1992,UM Special Collections
it00034934181,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00033208860,625378-330-UMA,TR1 .A62,TR1 .A62,TR1 .A62,UM W.E.B. Du Bois General Collections
it00035165513,3.12066E+14,ML5 .D53,ML5 .D53,ML5 .D53,UM W.E.B. Du Bois Periodicals
it00032854419,3.12066E+14,NA2600 .B747,NA2600 .B747,NA2600 .B747,UM W.E.B. Du Bois General Collections
it00035026362,3.12066E+14,DML POP FILTER KIT,DML POP FILTER KIT,DML POP FILTER KIT,UM Digital Media Lab
it00035160010,4419828-760-UMA,NA1 .L63,NA1 .L63,NA1 .L63,UM W.E.B. Du Bois Periodicals
it00035035304,3.12066E+14,Fraser 1234-1256,Fraser 1241,Fraser 1241,UM Special Collections
it00035044657,3.12066E+14,Savas 1744-1852,Savas 1760,Savas 1760,UM Special Collections
it00035044817,3.12066E+14,Fraser 527-536,Fraser 532,Fraser 532,UM Special Collections
it00032941279,3.12066E+14,ND621.V5 B5,ND621.V5 B5,ND621.V5 B5,UM W.E.B. Du Bois General Collections
it00035015023,3.12066E+14,MS 369 Box 1:1,MS 369 Box 1:1,MS 369 Box 1:1,UM Special Collections Archival
it00035096708,3.12066E+14,"NEYM 956-962, 996, 1046-1075",NEYM 1047,NEYM 1047,UM Special Collections
it00035022274,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:273,MS 369 Box 6:273,UM Special Collections Archival
it00035007467,3.12066E+14,Savas 1393-1396,Savas 1393,Savas 1393,UM Special Collections
it00034931296,3.12066E+14,"RBR 486, 716",RBR 486,RBR 486,UM Special Collections
it00033857758,3.12066E+14,DC141.7 .S8,DC141.7 .S8,DC141.7 .S8,UM W.E.B. Du Bois General Collections
it00033589547,3.12066E+14,NE940 .S3,NE940 .S3,NE940 .S3,UM W.E.B. Du Bois General Collections
it00035149359,3.12066E+14,M1145 .P273 C3,M1145 .P273 C3,M1145 .P273 C3,UM Du Bois Reserves
it00034780217,3.12066E+14,V 2984,V 2984,V 2984,UM Media STORAGE
it00034617208,3.12066E+14,MT345 .P45 1962,MT345 .P45 1962,MT345 .P45 1962,UM W.E.B. Du Bois General Collections
it00034057836,3.12066E+14,JX1391 .C32 1964,JX1391 .C32 1964,JX1391 .C32 1964,UM W.E.B. Du Bois General Collections
it00034933543,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034933565,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034933648,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.13,HA201 1970 v.13,UM W.E.B. Du Bois General Collections
it00032932153,3.12066E+14,MT870 .F5,MT870 .F5,MT870 .F5,UM W.E.B. Du Bois General Collections
it00035093832,3.12066E+14,NEYM Pam 152-Pam 153,NEYM Pam 152,NEYM Pam 152,UM Special Collections
it00034934204,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00035037552,3.12066E+14,Fraser 1080-1082,Fraser 1080,Fraser 1080,UM Special Collections
it00032743587,3.12066E+14,NX447 .W6 1958,NX447 .W6 1958,NX447 .W6 1958,UM W.E.B. Du Bois General Collections
it00034177175,3.12066E+14,MASS. GC 4.BTP 96:C 81/2/,MASS.  GC 4.BTP 96:C 81/2/,MASS.  GC 4.BTP 96:C 81/2/,UM Massachusetts Government Documents
it00034992246,3.12066E+14,RBR 730-873,RBR 847,RBR 847,UM Special Collections
it00034170166,3.12066E+14,RBR 1311-1313,RBR 1311,RBR 1311,UM Special Collections
it00035039185,3.12066E+14,RBR 1821-1892,RBR 1882,RBR 1882,UM Special Collections
it00033056368,3.12066E+14,"DK4020 .E45 v. 30, etc",DK4020 .E45 v. 44,DK4020 .E45 v. 44,UM W.E.B. Du Bois General Collections
it00034934184,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00032955340,3.12066E+14,TR1 .B8,TR1 .B8,TR1 .B8,UM W.E.B. Du Bois General Collections
it00035045309,3.12066E+14,Fraser 216-217,Fraser 217,Fraser 217,UM Special Collections
it00032985955,3.12066E+14,RBR 1486-1487,RBR 1487,RBR 1487,UM Special Collections
it00033831023,3.12066E+14,NA9052 .H3 1972,NA9052 .H3 1972,NA9052 .H3 1972,UM W.E.B. Du Bois General Collections
it00034173723,3.12066E+14,NE2062.5.G6 A4 1995,NE2062.5.G6 A4 1995,NE2062.5.G6 A4 1995,UM W.E.B. Du Bois General Collections
it00033155287,3.12066E+14,RBR 1556-1563,RBR 1557,RBR 1557,UM Special Collections
it00033144655,3.12066E+14,ML5 .O65,ML5 .O65,ML5 .O65,UM W.E.B. Du Bois General Collections
it00034933627,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034933640,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.10,HA201 1970 v.10,UM W.E.B. Du Bois General Collections
it00032792763,3.12066E+14,NA5543 .J35 1986,NA5543 .J35 1986,NA5543 .J35 1986,UM W.E.B. Du Bois General Collections
it00035132040,3.12066E+14,DML MEMORY CARD READER KIT: TRANSCEND,DML MEMORY CARD READER KIT: TRANSCEND,DML MEMORY CARD READER KIT: TRANSCEND,UM Digital Media Lab
it00034933608,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035044728,3.12066E+14,Savas 1744-1852,Savas 1831,Savas 1831,UM Special Collections
it00032925677,3.12066E+14,RBR 1903-1939,RBR 1931,RBR 1931,UM Special Collections
it00034994736,3.12066E+14,RBR 874-982,RBR 970,RBR 970,UM Special Collections
it00034825656,3.12066E+14,ML410 .V82 S78,ML410 .V82 S78,ML410 .V82 S78,UM W.E.B. Du Bois General Collections
it00035038713,3.12066E+14,DML LAV MIC,DML LAV MIC,DML LAV MIC,UM Digital Media Lab
it00034870062,3.12066E+14,6938,6938,6938,UM Music Media CD
it00034923928,3.12066E+14,RBR 246-247,RBR 246,RBR 246,UM Special Collections
it00034929829,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.49,HA201 1960 v.49,UM W.E.B. Du Bois General Collections
it00035057161,3.12066E+14,Fraser 627-641,Fraser 630,Fraser 630,UM Special Collections
it00033484765,3.12066E+14,ML410.B98 S36,ML410.B98 S36,ML410.B98 S36,UM W.E.B. Du Bois General Collections
it00034863974,3.12066E+14,,DVD 2278,DVD 2278,UM Du Bois Reserves
it00033664286,3.12066E+14,NA9030 .C8 1961,NA9030 .C8 1961,NA9030 .C8 1961,UM W.E.B. Du Bois General Collections
it00035044637,3.12066E+14,Savas 1672-1743,Savas 1734,Savas 1734,UM Special Collections
it00034934192,3.12066E+14,HA201 1960 v.2-4,HA201 1960 v.2,HA201 1960 v.2,UM W.E.B. Du Bois General Collections
it00034999093,3.12066E+14,Savas 1501-1638,Savas 1604,Savas 1604,UM Special Collections
it00034929859,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.77,HA201 1960 v.77,UM W.E.B. Du Bois General Collections
it00033607503,3.12066E+14,LB1103 .S6 v.28,LB1103 .S6 v.28 no.1,LB1103 .S6 v.28 no.1,UM W.E.B. Du Bois General Collections
it00033225170,3.12066E+14,ML410.M5 M6,ML410.M5 M6,ML410.M5 M6,UM W.E.B. Du Bois General Collections
it00034932441,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00034928635,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.2,HA201 1970 v.2,UM W.E.B. Du Bois General Collections
it00035055532,3.12066E+14,DML DIGITAL CAMERA,DML DIGITAL CAMERA,DML DIGITAL CAMERA,UM Digital Media Lab
it00032596727,40886*-UMA,QL628.M4 H34 1981,QL628.M4 H34 1981,QL628.M4 H34 1981,UM W.E.B. Du Bois General Collections
it00035022255,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:256,MS 369 Box 6:256,UM Special Collections Archival
it00034148859,3.12066E+14,MT243.B29 M4,MT243.B29 M4,MT243.B29 M4,UM W.E.B. Du Bois General Collections
it00034926080,3.12066E+14,HA201 1940 v.58-61,HA201 1940 v.59,HA201 1940 v.59,UM W.E.B. Du Bois General Collections
it00033056215,3.12066E+14,"DK4020 .E45 v. 30, etc",DK4020 .E45 v. 43,DK4020 .E45 v. 43,UM W.E.B. Du Bois General Collections
it00033299761,3.12066E+14,ML3561.J3 K63,ML3561.J3 K63,ML3561.J3 K63,UM W.E.B. Du Bois General Collections
it00034997985,3.12066E+14,Savas 1436-1500,Savas 1467,Savas 1467,UM Special Collections
it00034988600,3.12066E+14,"NEA 249-253, 435-461",NEA 444,NEA 444,UM Special Collections
it00034933593,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035132041,3.12066E+14,DML MEMORY CARD READER KIT: TRANSCEND,DML MEMORY CARD READER KIT: TRANSCEND,DML MEMORY CARD READER KIT: TRANSCEND,UM Digital Media Lab
it00033356453,3.12066E+14,RBR 1964-2038,RBR 2035,RBR 2035,UM Special Collections
it00034707855,3.12066E+14,PN1997 .B8746 2003,PN1997 .B8746 2003,PN1997 .B8746 2003,UM Du Bois Reserves
it00033122732,3.12066E+14,PS3525.A11 E75 1896,PS3525.A11 E75 1896,PS3525.A11 E75 1896,UM W.E.B. Du Bois General Collections
it00033145822,3.12066E+14,ML3790 .N3,ML3790 .N3,ML3790 .N3,UM W.E.B. Du Bois General Collections
it00034982629,3.12066E+14,Winokur 534-542,Winokur 540,Winokur 540,UM Special Collections
it00033699259,3.12066E+14,NA6603 .S7 1967,NA6603 .S7 1967,NA6603 .S7 1967,UM W.E.B. Du Bois General Collections
it00033998345,3.12066E+14,HA201 1990m v.125A sec.1-3,HA201 1990m v.125A sec.1,HA201 1990m v.125A sec.1,UM W.E.B. Du Bois General Collections
it00034293101,3.12066E+14,HA201 1930 v.14-16,HA201 1930 v.14,HA201 1930 v.14,UM W.E.B. Du Bois General Collections
it00034999024,3.12066E+14,Savas 1501-1638,Savas 1548,Savas 1548,UM Special Collections
it00035100078,3.12066E+14,NEYM 1155-1195,NEYM 1171,NEYM 1171,UM Special Collections
it00034932497,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035102193,3.12066E+14,NEYM 1231-1286,NEYM 1275,NEYM 1275,UM Special Collections
it00034928574,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00034929936,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.143,HA201 1960 v.143,UM W.E.B. Du Bois General Collections
it00035101483,3.12066E+14,"NEYM Pam 399, Pam 450, Pam 458",NEYM Pam 450,NEYM Pam 450,UM Special Collections
it00033945507,3.12066E+14,ML156.2 .B53,ML156.2 .B53,ML156.2 .B53,UM W.E.B. Du Bois General Collections
it00034928670,3.12066E+14,HA201 1970 v.1-2,HA201 1970 v.1,HA201 1970 v.1,UM W.E.B. Du Bois General Collections
it00034932509,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035097339,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 1137,NEYM 1137,UM Special Collections
it00035016751,3.12066E+14,MS 369 Box 3:80-Box 4:99,MS 369 Box 3:84,MS 369 Box 3:84,UM Special Collections Archival
it00034360882,3.12066E+14,ML156.2 .W66,ML156.2 .W66,ML156.2 .W66,UM W.E.B. Du Bois General Collections
it00034999082,3.12066E+14,Savas 1501-1638,Savas 1594,Savas 1594,UM Special Collections
it00034987778,3.12066E+14,Winokur 335-336,Winokur 335,Winokur 335,UM Special Collections
it00034999817,3.12066E+14,Vega 157-160,Vega 159,Vega 159,UM Special Collections
it00033171265,3.12066E+14,NX212 .P47,NX212 .P47,NX212 .P47,UM W.E.B. Du Bois General Collections
it00034977689,3.12066E+14,"NEA 333-371, 424-427, 432-434",NEA 367,NEA 367,UM Special Collections
it00034136692,3.12066E+14,HA201 1980 v.1 pt. 6 ch.D sec.1-4,HA201 1980 v.1 pt. 6 ch.D sec.2,HA201 1980 v.1 pt. 6 ch.D sec.2,UM W.E.B. Du Bois General Collections
it00035019219,3.12066E+14,HA201 1980b no.260 sec.1-4,HA201 1980b no.260 sec.1,HA201 1980b no.260 sec.1,UM W.E.B. Du Bois General Collections
it00032904797,3.12066E+14,,MS 369 Box 3:67,MS 369 Box 3:67,UM Special Collections Archival
it00032518854,3.12066E+14,RBR 1638-1640,RBR 1639,RBR 1639,UM Special Collections
it00034933443,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00035025744,3.12066E+14,MS 369 Box 2:54-Box 3:77,MS 369 Box 3:75,MS 369 Box 3:75,UM Special Collections Archival
it00035157391,625135-1650-UMA,ML1 .A5,ML1 .A5,ML1 .A5,UM W.E.B. Du Bois Periodicals
it00034995225,3.12066E+14,Vega 166-169,Vega 167,Vega 167,UM Special Collections
it00034136721,3.12066E+14,HA201 1980 v.1 pt.48 ch.D sec.1-2,HA201 1980 v.1 pt.48 ch.D sec.2,HA201 1980 v.1 pt.48 ch.D sec.2,UM W.E.B. Du Bois General Collections
it00034748790,3.52066E+14,MA 27 (B) SULLIVAN COPY,SN 66 B SULLIVAN COPY,SN 66 B SULLIVAN COPY,UM Du Bois Reserves
it00035096794,3.12066E+14,"NEYM 962-995, 1076-1147",NEYM 990,NEYM 990,UM Special Collections
it00032989694,3.12066E+14,MT6 .V66,MT6 .V66,MT6 .V66,UM W.E.B. Du Bois General Collections
it00033611439,3.12066E+14,MT40 .S2 1962,MT40 .S2 1962,MT40 .S2 1962,UM W.E.B. Du Bois General Collections
it00034999077,3.12066E+14,Savas 1501-1638,Savas 1600,Savas 1600,UM Special Collections
it00032777693,3.12066E+14,NK1700 .A57,NK1700 .A57,NK1700 .A57,UM W.E.B. Du Bois General Collections
it00035038987,3.12066E+14,RBR 1821-1892,RBR 1875,RBR 1875,UM Special Collections
it00034933625,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
it00034929948,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.154,HA201 1960 v.154,UM W.E.B. Du Bois General Collections
it00033585605,3.12066E+14,NA1088.G85 F5,NA1088.G85 F5,NA1088.G85 F5,UM W.E.B. Du Bois General Collections
it00034995340,3.12066E+14,Savas 1249-1260,Savas 1255,Savas 1255,UM Special Collections
it00033085899,3.12066E+14,ML113 .H715,ML113 .H715,ML113 .H715,UM W.E.B. Du Bois General Collections
it00035044616,3.12066E+14,Savas 1672-1743,Savas 1713,Savas 1713,UM Special Collections
it00034985950,3.12066E+14,Winokur 602-669,Winokur 650,Winokur 650,UM Special Collections
it00034940273,3.12066E+14,HA201 1940 v.32-34,HA201 1940 v.34,HA201 1940 v.34,UM W.E.B. Du Bois General Collections
it00035023111,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:302,MS 369 Box 6:302,UM Special Collections Archival
it00033886691,3.12066E+14,SB108.E84 G37 1991,SB108.E84 G37 1991,SB108.E84 G37 1991,UM W.E.B. Du Bois General Collections
it00032930028,3.12066E+14,PS2020 .F68 v.4,PS2020 .F68 v.9,PS2020 .F68 v.9,UM W.E.B. Du Bois General Collections
it00033964119,3.12066E+14,HA201 1990d v.24 sec.1-2,HA201 1990d v.24 sec.2,HA201 1990d v.24 sec.2,UM W.E.B. Du Bois General Collections
it00034506350,3.12066E+14,3362,3362,3362,UM Music Media CD
it00034929831,3.12066E+14,HA201 1960 v.5-176,HA201 1960 v.45,HA201 1960 v.45,UM W.E.B. Du Bois General Collections
it00034816339,3.12066E+14,5203,5203,5203,UM Music Media CD
it00034992194,3.12066E+14,RBR 730-873,RBR 766,RBR 766,UM Special Collections
it00034932568,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.8,HA201 1970 v.8,UM W.E.B. Du Bois General Collections
it00035030990,3.12066E+14,Fraser 909-911,Fraser 909,Fraser 909,UM Special Collections
it00035099886,3.12066E+14,NEYM Pam 137-Pam 138,NEYM Pam 137,NEYM Pam 137,UM Special Collections
it00033356467,3.12066E+14,RBR 1964-2038,RBR 2019,RBR 2019,UM Special Collections
it00035022238,3.12066E+14,MS 369 Box 5:226-10:471,MS 369 Box 6:244,MS 369 Box 6:244,UM Special Collections Archival
it00034011300,3.12066E+14,HA201 1990m v.113B sec.1-5,HA201 1990m v.113B sec.2,HA201 1990m v.113B sec.2,UM W.E.B. Du Bois General Collections
it00032681388,3.12066E+14,NX7 .G325,NX7 .G325,NX7 .G325,UM W.E.B. Du Bois General Collections
it00034984088,3.12066E+14,Winokur 497-503,Winokur 498,Winokur 498,UM Special Collections
it00034015390,3.12066E+14,HA201 1990d v.11 sec.1-3,HA201 1990d v.11 sec.2,HA201 1990d v.11 sec.2,UM W.E.B. Du Bois General Collections
it00035015050,3.12066E+14,MS 369 Box 1:2-Box 1:22,MS 369 Box 1:22,MS 369 Box 1:22,UM Special Collections Archival
it00033023334,3.12066E+14,RBR 1240-1243,RBR 1241,RBR 1241,UM Special Collections
it00035002971,3.12066E+14,Franklin 5-6,Franklin 6,Franklin 6,UM Special Collections
it00032743575,3.12066E+14,NX447 .W6 1958,NX447 .W6 1958,NX447 .W6 1958,UM W.E.B. Du Bois General Collections
it00035025676,3.12066E+14,MS 369 Box 1:32-Box 2:47,MS 369 Box 1:33,MS 369 Box 1:33,UM Special Collections Archival
it00035100787,3.12066E+14,NEYM 1196-1198,NEYM 1196,NEYM 1196,UM Special Collections
it00033860493,3.12066E+14,TR1 .P88,TR1 .P88,TR1 .P88,UM W.E.B. Du Bois General Collections
it00034933576,3.12066E+14,HA201 1970 v.7-14,HA201 1970 v.9,HA201 1970 v.9,UM W.E.B. Du Bois General Collections
